item_id,cleanout_bag_id,category,donor_state,weight_grams,disposition,timestamp,evidence_id
TB-1097,TU-BAG-9869,Knitwear,,379,REPAIRED,2026-09-01T11:12:00.000Z,RP-20397
TB-1098,TU-BAG-9869,Knitwear,CA,356,REPAIRED,2026-09-01T11:14:00.000Z,RP-20398
TB-1099,TU-BAG-9870,Knitwear,,,DOWN_CYCLED_SHRED,2026-09-01T11:16:00.000Z,
TB-1100,TU-BAG-9870,Tops,TX,,REPAIRED,2026-09-01T11:18:00.000Z,RP-20400
TB-1101,TU-BAG-9871,Outerwear,CA,907,REPAIRED,2026-09-01T11:20:00.000Z,RP-20401
TB-1102,TU-BAG-9871,Denim,CA,547,DOWN_CYCLED_SHRED,2026-09-01T11:22:00.000Z,
TB-1103,TU-BAG-9872,Accessories,CA,141,REPAIRED,2026-09-01T11:24:00.000Z,RP-20403
TB-1104,TU-BAG-9872,Outerwear,CA,873,LISTED_RESALE,2026-09-01T11:26:00.000Z,RS-20404
TB-1105,TU-BAG-9873,Knitwear,CA,394,REPAIRED,2026-09-01T11:28:00.000Z,RP-20405
TB-1106,TU-BAG-9873,Denim,,652,LISTED_RESALE,2026-09-01T11:30:00.000Z,RS-20406
TB-1107,TU-BAG-9874,Tops,GA,174,REPAIRED,2026-09-01T11:32:00.000Z,RP-20407
TB-1108,TU-BAG-9874,Outerwear,CO,722,DOWN_CYCLED_SHRED,2026-09-01T11:34:00.000Z,
TB-1109,TU-BAG-9875,Outerwear,CA,,REPAIRED,2026-09-01T11:36:00.000Z,RP-20409
TB-1110,TU-BAG-9875,Tops,WA,186,REPAIRED,2026-09-01T11:38:00.000Z,RP-20410
TB-1111,TU-BAG-9876,Knitwear,CA,,REPAIRED,2026-09-01T11:40:00.000Z,RP-20411
TB-1112,TU-BAG-9876,Tops,CA,174,REPAIRED,2026-09-01T11:42:00.000Z,RP-20412
TB-1113,TU-BAG-9877,Knitwear,CA,350,LISTED_RESALE,2026-09-01T11:44:00.000Z,RS-20413
TB-1114,TU-BAG-9877,Knitwear,CA,287,REPAIRED,2026-09-01T11:46:00.000Z,RP-20414
TB-1115,TU-BAG-9878,Denim,CA,,DOWN_CYCLED_SHRED,2026-09-01T11:48:00.000Z,
TB-1116,TU-BAG-9878,Outerwear,CA,904,REPAIRED,2026-09-01T11:50:00.000Z,RP-20416
TB-1117,TU-BAG-9879,Outerwear,OR,777,REPAIRED,2026-09-01T11:52:00.000Z,RP-20417
TB-1118,TU-BAG-9879,Knitwear,CA,404,LISTED_RESALE,2026-09-01T11:54:00.000Z,RS-20418
TB-1119,TU-BAG-9880,Knitwear,CA,,DOWN_CYCLED_SHRED,2026-09-01T11:56:00.000Z,
TB-1120,TU-BAG-9880,Tops,CA,196,REPAIRED,2026-09-01T11:58:00.000Z,RP-20420
TB-1121,TU-BAG-9881,Knitwear,OR,,LISTED_RESALE,2026-09-01T12:00:00.000Z,RS-20421
TB-1122,TU-BAG-9881,Tops,NV,206,LISTED_RESALE,2026-09-01T12:02:00.000Z,RS-20422
TB-1123,TU-BAG-9882,Denim,NY,590,LISTED_RESALE,2026-09-01T12:04:00.000Z,RS-20423
TB-1124,TU-BAG-9882,Tops,TX,151,LISTED_RESALE,2026-09-01T12:06:00.000Z,RS-20424
TB-1125,TU-BAG-9883,Denim,OR,682,LISTED_RESALE,2026-09-01T12:08:00.000Z,RS-20425
TB-1126,TU-BAG-9883,Knitwear,GA,,REPAIRED,2026-09-01T12:10:00.000Z,RP-20426
TB-1127,TU-BAG-9884,Outerwear,CA,1012,REPAIRED,2026-09-01T12:12:00.000Z,RP-20427
TB-1128,TU-BAG-9884,Tops,AZ,215,LISTED_RESALE,2026-09-01T12:14:00.000Z,RS-20428
TB-1129,TU-BAG-9885,Tops,CA,196,REPAIRED,2026-09-01T12:16:00.000Z,RP-20429
TB-1130,TU-BAG-9885,Knitwear,,416,REPAIRED,2026-09-01T12:18:00.000Z,RP-20430
TB-1131,TU-BAG-9886,Denim,CA,548,LISTED_RESALE,2026-09-01T12:20:00.000Z,RS-20431
TB-1132,TU-BAG-9886,Outerwear,CA,964,REPAIRED,2026-09-01T12:22:00.000Z,RP-20432
TB-1133,TU-BAG-9887,Outerwear,CA,805,REPAIRED,2026-09-01T12:24:00.000Z,RP-20433
TB-1134,TU-BAG-9887,Knitwear,CA,363,LISTED_RESALE,2026-09-01T12:26:00.000Z,RS-20434
TB-1135,TU-BAG-9888,Knitwear,,412,REPAIRED,2026-09-01T12:28:00.000Z,RP-20435
TB-1136,TU-BAG-9888,Accessories,CA,135,REPAIRED,2026-09-01T12:30:00.000Z,RP-20436
TB-1137,TU-BAG-9889,Outerwear,CA,822,REPAIRED,2026-09-01T12:32:00.000Z,RP-20437
TB-1138,TU-BAG-9889,Outerwear,CA,,REPAIRED,2026-09-01T12:34:00.000Z,RP-20438
TB-1139,TU-BAG-9890,Denim,CA,714,REPAIRED,2026-09-01T12:36:00.000Z,RP-20439
TB-1140,TU-BAG-9890,Tops,IL,195,REPAIRED,2026-09-01T12:38:00.000Z,RP-20440
TB-1141,TU-BAG-9891,Tops,,159,REPAIRED,2026-09-01T12:40:00.000Z,RP-20441
TB-1142,TU-BAG-9891,Tops,CA,208,LISTED_RESALE,2026-09-01T12:42:00.000Z,RS-20442
TB-1143,TU-BAG-9892,Tops,CA,183,REPAIRED,2026-09-01T12:44:00.000Z,RP-20443
TB-1144,TU-BAG-9892,Accessories,OR,103,LISTED_RESALE,2026-09-01T12:46:00.000Z,RS-20444
TB-1145,TU-BAG-9893,Outerwear,,871,REPAIRED,2026-09-01T12:48:00.000Z,RP-20445
TB-1146,TU-BAG-9893,Denim,CA,691,REPAIRED,2026-09-01T12:50:00.000Z,RP-20446
TB-1147,TU-BAG-9894,Tops,,,REPAIRED,2026-09-01T12:52:00.000Z,RP-20447
TB-1148,TU-BAG-9894,Tops,CO,,REPAIRED,2026-09-01T12:54:00.000Z,RP-20448
TB-1149,TU-BAG-9895,Accessories,OR,99,LISTED_RESALE,2026-09-01T12:56:00.000Z,RS-20449
TB-1150,TU-BAG-9895,Tops,CA,205,REPAIRED,2026-09-01T12:58:00.000Z,RP-20450
TB-1151,TU-BAG-9896,Tops,CA,212,REPAIRED,2026-09-01T13:00:00.000Z,RP-20451
TB-1152,TU-BAG-9896,Tops,CA,156,LISTED_RESALE,2026-09-01T13:02:00.000Z,RS-20452
TB-1153,TU-BAG-9897,Knitwear,CA,326,LISTED_RESALE,2026-09-01T13:04:00.000Z,RS-20453
TB-1154,TU-BAG-9897,Knitwear,CA,,LISTED_RESALE,2026-09-01T13:06:00.000Z,RS-20454
TB-1155,TU-BAG-9898,Denim,CA,,LISTED_RESALE,2026-09-01T13:08:00.000Z,RS-20455
TB-1156,TU-BAG-9898,Accessories,,115,REPAIRED,2026-09-01T13:10:00.000Z,RP-20456
TB-1157,TU-BAG-9899,Outerwear,OR,828,REPAIRED,2026-09-01T13:12:00.000Z,RP-20457
TB-1158,TU-BAG-9899,Accessories,CA,,LISTED_RESALE,2026-09-01T13:14:00.000Z,RS-20458
TB-1159,TU-BAG-9900,Outerwear,IL,911,REPAIRED,2026-09-01T13:16:00.000Z,RP-20459
TB-1160,TU-BAG-9900,Knitwear,CA,336,LANDFILL,2026-09-01T13:18:00.000Z,
TB-1161,TU-BAG-9901,Denim,CA,,REPAIRED,2026-09-01T13:20:00.000Z,RP-20461
TB-1162,TU-BAG-9901,Tops,CA,188,REPAIRED,2026-09-01T13:22:00.000Z,RP-20462
TB-1163,TU-BAG-9902,Tops,CA,166,REPAIRED,2026-09-01T13:24:00.000Z,RP-20463
TB-1164,TU-BAG-9902,Accessories,CA,,REPAIRED,2026-09-01T13:26:00.000Z,RP-20464
TB-1165,TU-BAG-9903,Tops,CA,184,LANDFILL,2026-09-01T13:28:00.000Z,
TB-1166,TU-BAG-9903,Outerwear,,961,LISTED_RESALE,2026-09-01T13:30:00.000Z,RS-20466
TB-1167,TU-BAG-9904,Tops,CA,,LISTED_RESALE,2026-09-01T13:32:00.000Z,RS-20467
TB-1168,TU-BAG-9904,Knitwear,CA,321,DOWN_CYCLED_SHRED,2026-09-01T13:34:00.000Z,
TB-1169,TU-BAG-9905,Denim,CA,718,REPAIRED,2026-09-01T13:36:00.000Z,RP-20469
TB-1170,TU-BAG-9905,Accessories,GA,139,REPAIRED,2026-09-01T13:38:00.000Z,RP-20470
TB-1171,TU-BAG-9906,Tops,CA,216,LISTED_RESALE,2026-09-01T13:40:00.000Z,RS-20471
TB-1172,TU-BAG-9906,Tops,,,LISTED_RESALE,2026-09-01T13:42:00.000Z,RS-20472
TB-1173,TU-BAG-9907,Tops,CA,,REPAIRED,2026-09-01T13:44:00.000Z,RP-20473
TB-1174,TU-BAG-9907,Tops,,166,LISTED_RESALE,2026-09-01T13:46:00.000Z,RS-20474
TB-1175,TU-BAG-9908,Denim,CA,705,REPAIRED,2026-09-01T13:48:00.000Z,RP-20475
TB-1176,TU-BAG-9908,Tops,CA,195,REPAIRED,2026-09-01T13:50:00.000Z,RP-20476
TB-1177,TU-BAG-9909,Outerwear,CA,,DOWN_CYCLED_SHRED,2026-09-01T13:52:00.000Z,
TB-1178,TU-BAG-9909,Denim,CO,534,REPAIRED,2026-09-01T13:54:00.000Z,RP-20478
TB-1179,TU-BAG-9910,Accessories,CA,114,REPAIRED,2026-09-01T13:56:00.000Z,RP-20479
TB-1180,TU-BAG-9910,Denim,NY,540,LISTED_RESALE,2026-09-01T13:58:00.000Z,RS-20480
TB-1181,TU-BAG-9911,Accessories,CA,130,LISTED_RESALE,2026-09-01T14:00:00.000Z,RS-20481
TB-1182,TU-BAG-9911,Denim,CA,617,LISTED_RESALE,2026-09-01T14:02:00.000Z,RS-20482
TB-1183,TU-BAG-9912,Accessories,CA,131,DOWN_CYCLED_SHRED,2026-09-01T14:04:00.000Z,
TB-1184,TU-BAG-9912,Tops,CA,,LISTED_RESALE,2026-09-01T14:06:00.000Z,RS-20484
TB-1185,TU-BAG-9913,Outerwear,IL,947,UNVERIFIED_EXPORT,2026-09-01T14:08:00.000Z,
TB-1186,TU-BAG-9913,Knitwear,TX,383,LISTED_RESALE,2026-09-01T14:10:00.000Z,RS-20486
TB-1187,TU-BAG-9914,Outerwear,CA,1079,LISTED_RESALE,2026-09-01T14:12:00.000Z,RS-20487
TB-1188,TU-BAG-9914,Outerwear,CA,,LISTED_RESALE,2026-09-01T14:14:00.000Z,RS-20488
TB-1189,TU-BAG-9915,Outerwear,CA,887,LISTED_RESALE,2026-09-01T14:16:00.000Z,RS-20489
TB-1190,TU-BAG-9915,Accessories,CA,,LISTED_RESALE,2026-09-01T14:18:00.000Z,RS-20490
TB-1191,TU-BAG-9916,Denim,CA,,REPAIRED,2026-09-01T14:20:00.000Z,RP-20491
TB-1192,TU-BAG-9916,Knitwear,CA,316,LISTED_RESALE,2026-09-01T14:22:00.000Z,RS-20492
TB-1193,TU-BAG-9917,Tops,CA,,LISTED_RESALE,2026-09-01T14:24:00.000Z,RS-20493
TB-1194,TU-BAG-9917,Accessories,,111,LISTED_RESALE,2026-09-01T14:26:00.000Z,RS-20494
TB-1195,TU-BAG-9918,Denim,CA,618,DOWN_CYCLED_SHRED,2026-09-01T14:28:00.000Z,
TB-1196,TU-BAG-9918,Denim,OR,745,REPAIRED,2026-09-01T14:30:00.000Z,RP-20496
TB-1197,TU-BAG-9919,Accessories,CA,140,LISTED_RESALE,2026-09-01T14:32:00.000Z,RS-20497
TB-1198,TU-BAG-9919,Knitwear,CA,384,LISTED_RESALE,2026-09-01T14:34:00.000Z,RS-20498
TB-1199,TU-BAG-9920,Tops,CA,,LANDFILL,2026-09-01T14:36:00.000Z,
TB-1200,TU-BAG-9920,Denim,GA,559,REPAIRED,2026-09-01T14:38:00.000Z,RP-20500
TB-1201,TU-BAG-9921,Accessories,CO,104,REPAIRED,2026-09-01T14:40:00.000Z,RP-20501
TB-1202,TU-BAG-9921,Tops,CA,166,REPAIRED,2026-09-01T14:42:00.000Z,RP-20502
TB-1203,TU-BAG-9922,Accessories,CA,132,REPAIRED,2026-09-01T14:44:00.000Z,RP-20503
TB-1204,TU-BAG-9922,Tops,,197,REPAIRED,2026-09-01T14:46:00.000Z,RP-20504
TB-1205,TU-BAG-9923,Tops,CA,203,REPAIRED,2026-09-01T14:48:00.000Z,RP-20505
TB-1206,TU-BAG-9923,Accessories,,,LISTED_RESALE,2026-09-01T14:50:00.000Z,RS-20506
TB-1207,TU-BAG-9924,Knitwear,CA,,LISTED_RESALE,2026-09-01T14:52:00.000Z,RS-20507
TB-1208,TU-BAG-9924,Knitwear,CA,318,REPAIRED,2026-09-01T14:54:00.000Z,RP-20508
TB-1209,TU-BAG-9925,Denim,CA,,REPAIRED,2026-09-01T14:56:00.000Z,RP-20509
TB-1210,TU-BAG-9925,Outerwear,OR,808,REPAIRED,2026-09-01T14:58:00.000Z,RP-20510
TB-1211,TU-BAG-9926,Tops,CA,216,REPAIRED,2026-09-01T15:00:00.000Z,RP-20511
TB-1212,TU-BAG-9926,Accessories,CA,120,REPAIRED,2026-09-01T15:02:00.000Z,RP-20512
TB-1213,TU-BAG-9927,Denim,CA,744,REPAIRED,2026-09-01T15:04:00.000Z,RP-20513
TB-1214,TU-BAG-9927,Accessories,CA,109,LISTED_RESALE,2026-09-01T15:06:00.000Z,RS-20514
TB-1215,TU-BAG-9928,Knitwear,CA,,REPAIRED,2026-09-01T15:08:00.000Z,RP-20515
TB-1216,TU-BAG-9928,Denim,CA,,REPAIRED,2026-09-01T15:10:00.000Z,RP-20516
TB-1217,TU-BAG-9929,Accessories,CA,104,LISTED_RESALE,2026-09-01T15:12:00.000Z,RS-20517
TB-1218,TU-BAG-9929,Denim,,585,LISTED_RESALE,2026-09-01T15:14:00.000Z,RS-20518
TB-1219,TU-BAG-9930,Knitwear,CA,405,LISTED_RESALE,2026-09-01T15:16:00.000Z,RS-20519
TB-1220,TU-BAG-9930,Outerwear,CA,,REPAIRED,2026-09-01T15:18:00.000Z,RP-20520
TB-1221,TU-BAG-9931,Knitwear,CA,349,REPAIRED,2026-09-01T15:20:00.000Z,RP-20521
TB-1222,TU-BAG-9931,Knitwear,CA,307,LISTED_RESALE,2026-09-01T15:22:00.000Z,RS-20522
TB-1223,TU-BAG-9932,Knitwear,CA,311,REPAIRED,2026-09-01T15:24:00.000Z,RP-20523
TB-1224,TU-BAG-9932,Accessories,CA,134,LISTED_RESALE,2026-09-01T15:26:00.000Z,RS-20524
TB-1225,TU-BAG-9933,Tops,CA,,LISTED_RESALE,2026-09-01T15:28:00.000Z,RS-20525
TB-1226,TU-BAG-9933,Outerwear,CA,934,REPAIRED,2026-09-01T15:30:00.000Z,RP-20526
TB-1227,TU-BAG-9934,Accessories,CA,112,REPAIRED,2026-09-01T15:32:00.000Z,RP-20527
TB-1228,TU-BAG-9934,Accessories,CA,134,LISTED_RESALE,2026-09-01T15:34:00.000Z,RS-20528
TB-1229,TU-BAG-9935,Knitwear,CA,392,LISTED_RESALE,2026-09-01T15:36:00.000Z,RS-20529
TB-1230,TU-BAG-9935,Knitwear,CA,411,REPAIRED,2026-09-01T15:38:00.000Z,RP-20530
TB-1231,TU-BAG-9936,Denim,CA,749,REPAIRED,2026-09-01T15:40:00.000Z,RP-20531
TB-1232,TU-BAG-9936,Denim,CA,,REPAIRED,2026-09-01T15:42:00.000Z,RP-20532
TB-1233,TU-BAG-9937,Tops,CA,181,LISTED_RESALE,2026-09-01T15:44:00.000Z,RS-20533
TB-1234,TU-BAG-9937,Accessories,CA,,LISTED_RESALE,2026-09-01T15:46:00.000Z,RS-20534
TB-1235,TU-BAG-9938,Denim,,762,LISTED_RESALE,2026-09-01T15:48:00.000Z,RS-20535
TB-1236,TU-BAG-9938,Knitwear,CA,294,LANDFILL,2026-09-01T15:50:00.000Z,
TB-1237,TU-BAG-9939,Outerwear,CA,,LANDFILL,2026-09-01T15:52:00.000Z,
TB-1238,TU-BAG-9939,Knitwear,CA,,DOWN_CYCLED_SHRED,2026-09-01T15:54:00.000Z,
TB-1239,TU-BAG-9940,Outerwear,CA,1041,REPAIRED,2026-09-01T15:56:00.000Z,RP-20539
TB-1240,TU-BAG-9940,Accessories,CA,128,REPAIRED,2026-09-01T15:58:00.000Z,RP-20540
TB-1241,TU-BAG-9941,Accessories,OR,100,LISTED_RESALE,2026-09-01T16:00:00.000Z,RS-20541
TB-1242,TU-BAG-9941,Knitwear,TX,400,REPAIRED,2026-09-01T16:02:00.000Z,RP-20542
TB-1243,TU-BAG-9942,Knitwear,CA,349,LISTED_RESALE,2026-09-01T16:04:00.000Z,RS-20543
TB-1244,TU-BAG-9942,Outerwear,CA,980,REPAIRED,2026-09-01T16:06:00.000Z,RP-20544
